"PointID", "x", "y", "z", "Density", "Momentum_x", "Momentum_y", "Momentum_z", "Energy", "Nu_Tilde", "Pressure", "Temperature", "Mach", "Pressure_Coefficient", "Laminar_Viscosity", "Skin_Friction_Coefficient_x", "Skin_Friction_Coefficient_y", "Skin_Friction_Coefficient_z", "Heat_Flux", "Y_Plus", "Eddy_Viscosity"
0, 7.946516948817000e-01, 0.000000000000000e+00, -1.530741281331000e-03, 8.938844594215548e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.679589152371011e+00, 1.000000000000000e-10, 1.071835660948404e+00, 1.183085827894164e+00, 0.000000000000000e+00, 1.166395354539315e-01, 6.264521053684872e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
1, 7.831152624057000e-01, 0.000000000000000e+00, -3.065657521494900e-03, 8.968898210968346e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.688755153524936e+00, 1.000000000000000e-10, 1.075502061409974e+00, 1.183154850667172e+00, 0.000000000000000e+00, 1.239723363770721e-01, 6.264793194861035e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
2, 7.710400483881000e-01, 0.000000000000000e+00, -4.643955963327000e-03, 8.997640372479250e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.697784025431451e+00, 1.000000000000000e-10, 1.079113610172580e+00, 1.183335724345808e+00, 0.000000000000000e+00, 1.311954339022834e-01, 6.265506300928896e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
3, 7.582171912455000e-01, 0.000000000000000e+00, -6.295508957038200e-03, 9.026967109093167e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.707035042453567e+00, 1.000000000000000e-10, 1.082814016981427e+00, 1.183535926656539e+00, 0.000000000000000e+00, 1.385962475199767e-01, 6.266295547371552e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
4, 7.444747928706000e-01, 0.000000000000000e+00, -8.032659552319200e-03, 9.067560600731824e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.719889140327685e+00, 1.000000000000000e-10, 1.087955656131074e+00, 1.183832242818155e+00, 0.000000000000000e+00, 1.488795258192707e-01, 6.267463574723383e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
5, 7.296761242887000e-01, 0.000000000000000e+00, -9.851547518186999e-03, 9.121231408818158e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.736949526654654e+00, 1.000000000000000e-10, 1.094779810661861e+00, 1.184248224681066e+00, 0.000000000000000e+00, 1.625278348808461e-01, 6.269103055285825e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
6, 7.137195060347999e-01, 0.000000000000000e+00, -1.174356778133010e-02, 9.184267965782568e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.757088557708846e+00, 1.000000000000000e-10, 1.102835423083538e+00, 1.184774224715228e+00, 0.000000000000000e+00, 1.786390597241993e-01, 6.271175727658400e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
7, 6.965354372040000e-01, 0.000000000000000e+00, -1.369735676436300e-02, 9.251142276751676e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.778585855832077e+00, 1.000000000000000e-10, 1.111434342332831e+00, 1.185380799624400e+00, 0.000000000000000e+00, 1.958368982227844e-01, 6.273565325247565e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
8, 6.780857580912001e-01, 0.000000000000000e+00, -1.570177841265600e-02, 9.318584440591687e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.800448770834583e+00, 1.000000000000000e-10, 1.120179508333833e+00, 1.186061245159831e+00, 0.000000000000000e+00, 2.133272302247894e-01, 6.276245202671048e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
9, 6.583612577331001e-01, 0.000000000000000e+00, -1.774771040347800e-02, 9.381954209670545e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.821129611482970e+00, 1.000000000000000e-10, 1.128451844593188e+00, 1.186749776079899e+00, 0.000000000000000e+00, 2.298719027434987e-01, 6.278956135338036e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
10, 6.373794010731000e-01, 0.000000000000000e+00, -1.982828638236900e-02, 9.440078251144844e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.840266169867044e+00, 1.000000000000000e-10, 1.136106467946817e+00, 1.187443281618559e+00, 0.000000000000000e+00, 2.451811494507580e-01, 6.281685853379963e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
11, 6.151821757490999e-01, 0.000000000000000e+00, -2.193861975386400e-02, 9.491858178521027e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.857425268933785e+00, 1.000000000000000e-10, 1.142970107573514e+00, 1.188100198136512e+00, 0.000000000000000e+00, 2.589084287041507e-01, 6.284270811915517e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
12, 5.918336996355000e-01, 0.000000000000000e+00, -2.407179392188500e-02, 9.540009916890746e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.873495885514613e+00, 1.000000000000000e-10, 1.149398354205845e+00, 1.188751783198558e+00, 0.000000000000000e+00, 2.717649219688134e-01, 6.286834079681777e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
13, 5.674178283852001e-01, 0.000000000000000e+00, -2.621524728570300e-02, 9.588402256123093e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.889751822899751e+00, 1.000000000000000e-10, 1.155900729159900e+00, 1.189443257736472e+00, 0.000000000000000e+00, 2.847696718769232e-01, 6.289553493983993e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
14, 5.420350452342000e-01, 0.000000000000000e+00, -2.834651705715600e-02, 9.642408342276806e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.908028693952697e+00, 1.000000000000000e-10, 1.163211477581078e+00, 1.190262075303352e+00, 0.000000000000000e+00, 2.993911687192802e-01, 6.292772689315870e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
15, 5.158013843955001e-01, 0.000000000000000e+00, -3.043071521745900e-02, 9.707463143130625e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.930255367217395e+00, 1.000000000000000e-10, 1.172102146886958e+00, 1.191321961093603e+00, 0.000000000000000e+00, 3.171725073310387e-01, 6.296937990677283e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
